 *  Executing task in folder MatrixClockv0: platformio device monitor 

--- Terminal on /dev/cu.usbserial-02280638 | 9600 8-N-1
{"coord":{"lon":-8.611,"lat":41.1496},"weather":[{"id":802,"main":"Clouds","description":"scattered clouds","icon":"03n"}],"base":"stations","main":{"temp":10.04,"feels_like":9.14,"temp_min":7.5,"temp_max":11.73,"pressure":1027,"humidity":78},"visibility":10000,"wind":{"speed":3.6,"deg":270},"clouds":{"all":40},"dt":1673813846,"sys":{"type":2,"id":2009460,"country":"PT","sunrise":1673769458,"sunset":1673803762},"timezone":0,"id":2735943,"name":"Porto","cod":200}
Temperature10.04
Humidity78
Porto
200
{"coord":{"lon":-8.611,"lat":41.1496},"weather":[{"id":802,"main":"Clouds","description":"scattered clouds","icon":"03n"}],"base":"stations","main":{"temp":10.04,"feels_like":9.14,"temp_min":7.5,"temp_max":11.73,"pressure":1027,"humidity":78},"visibility":10000,"wind":{"speed":3.6,"deg":270},"clouds":{"all":40},"dt":1673813846,"sys":{"type":2,"id":2009460,"country":"PT","sunrise":1673769458,"sunset":1673803762},"timezone":0,"id":2735943,"name":"Porto","cod":200}
Temperature10.04
Humidity78
Porto
Loop number: 100 time of loop(us): 10248 of wheather_task_time
Loop number: 200 time of loop(us): 10448 of wheather_task_time
Loop number: 300 time of loop(us): 10080 of wheather_task_time
Loop number: 400 time of loop(us): 10092 of wheather_task_time
Loop number: 500 time of loop(us): 10069 of wheather_task_time
Loop number: 600 time of loop(us): 10092 of wheather_task_time
Loop number: 700 time of loop(us): 10060 of wheather_task_time
Loop number: 800 time of loop(us): 10093 of wheather_task_time
Loop number: 900 time of loop(us): 10069 of wheather_task_time
Loop number: 1000 time of loop(us): 10085 of wheather_task_time
Loop number: 1100 time of loop(us): 10117 of wheather_task_time
Loop number: 1200 time of loop(us): 10137 of wheather_task_time
Loop number: 1300 time of loop(us): 10135 of wheather_task_time
Loop number: 1400 time of loop(us): 10140 of wheather_task_time
Loop number: 1500 time of loop(us): 10133 of wheather_task_time
Loop number: 1600 time of loop(us): 10135 of wheather_task_time
Loop number: 1700 time of loop(us): 10220 of wheather_task_time
Loop number: 1800 time of loop(us): 10145 of wheather_task_time
Loop number: 1900 time of loop(us): 10117 of wheather_task_time
Loop number: 2000 time of loop(us): 10158 of wheather_task_time
200
{"coord":{"lon":-8.611,"lat":41.1496},"weather":[{"id":802,"main":"Clouds","description":"scattered clouds","icon":"03n"}],"base":"stations","main":{"temp":10.04,"feels_like":9.14,"temp_min":7.5,"temp_max":11.73,"pressure":1027,"humidity":78},"visibility":10000,"wind":{"speed":3.6,"deg":270},"clouds":{"all":40},"dt":1673813846,"sys":{"type":2,"id":2009460,"country":"PT","sunrise":1673769458,"sunset":1673803762},"timezone":0,"id":2735943,"name":"Porto","cod":200}
Temperature10.04
Humidity78
Porto
Loop number: 2100 time of loop(us): 10270 of wheather_task_time
Loop number: 2200 time of loop(us): 10167 of wheather_task_time
Loop number: 2300 time of loop(us): 10198 of wheather_task_time
Loop number: 2400 time of loop(us): 10173 of wheather_task_time
Loop number: 2500 time of loop(us): 10202 of wheather_task_time
Loop number: 2600 time of loop(us): 10290 of wheather_task_time
Loop number: 2700 time of loop(us): 10195 of wheather_task_time
Loop number: 2800 time of loop(us): 10162 of wheather_task_time
Loop number: 2900 time of loop(us): 10201 of wheather_task_time
Loop number: 3000 time of loop(us): 10183 of wheather_task_time
Loop number: 3100 time of loop(us): 10260 of wheather_task_time
Loop number: 3200 time of loop(us): 10223 of wheather_task_time
Loop number: 3300 time of loop(us): 10270 of wheather_task_time
Loop number: 3400 time of loop(us): 10262 of wheather_task_time
Loop number: 3500 time of loop(us): 10263 of wheather_task_time
Loop number: 3600 time of loop(us): 10223 of wheather_task_time
Loop number: 3700 time of loop(us): 10267 of wheather_task_time
Loop number: 3800 time of loop(us): 10228 of wheather_task_time
Loop number: 3900 time of loop(us): 10199 of wheather_task_time
Loop number: 4000 time of loop(us): 10177 of wheather_task_time
200
{"coord":{"lon":-8.611,"lat":41.1496},"weather":[{"id":802,"main":"Clouds","description":"scattered clouds","icon":"03n"}],"base":"stations","main":{"temp":10.04,"feels_like":9.14,"temp_min":7.5,"temp_max":11.73,"pressure":1027,"humidity":78},"visibility":10000,"wind":{"speed":3.6,"deg":270},"clouds":{"all":40},"dt":1673813846,"sys":{"type":2,"id":2009460,"country":"PT","sunrise":1673769458,"sunset":1673803762},"timezone":0,"id":2735943,"name":"Porto","cod":200}
Temperature10.04
Humidity78
Porto
Loop number: 4100 time of loop(us): 10082 of wheather_task_time
Loop number: 4200 time of loop(us): 10131 of wheather_task_time
TOUCHED PIN 27, counter = 
2
Booting...
Loop number: 100 time of loop(us): 2 of smartclock_task_time
Loop number: 200 time of loop(us): 2 of smartclock_task_time
Loop number: 300 time of loop(us): 2 of smartclock_task_time


NTP response time was : 54 ms
Time since last sync is: 62.09 s
Received NTP UTC time : 20:19:18
Loop number: 400 time of loop(us): 2 of smartclock_task_time
Loop number: 500 time of loop(us): 2 of smartclock_task_time
Loop number: 600 time of loop(us): 2 of smartclock_task_time
Loop number: 700 time of loop(us): 2 of smartclock_task_time
Loop number: 800 time of loop(us): 2 of smartclock_task_time
Loop number: 900 time of loop(us): 2 of smartclock_task_time
Loop number: 1000 time of loop(us): 2 of smartclock_task_time
Loop number: 1100 time of loop(us): 2 of smartclock_task_time
Loop number: 1200 time of loop(us): 2 of smartclock_task_time
Loop number: 1300 time of loop(us): 2 of smartclock_task_time
Loop number: 1400 time of loop(us): 2 of smartclock_task_time
Loop number: 1500 time of loop(us): 2 of smartclock_task_time
Loop number: 1600 time of loop(us): 2 of smartclock_task_time
Loop number: 1700 time of loop(us): 2 of smartclock_task_time
Loop number: 1800 time of loop(us): 2 of smartclock_task_time
Loop number: 1900 time of loop(us): 2 of smartclock_task_time
Loop number: 2000 time of loop(us): 2 of smartclock_task_time
Loop number: 2100 time of loop(us): 2 of smartclock_task_time
Loop number: 2200 time of loop(us): 2 of smartclock_task_time
Loop number: 2300 time of loop(us): 2 of smartclock_task_time
Loop number: 2400 time of loop(us): 2 of smartclock_task_time
Loop number: 2500 time of loop(us): 2 of smartclock_task_time
Loop number: 2600 time of loop(us): 2 of smartclock_task_time
Loop number: 2700 time of loop(us): 2 of smartclock_task_time
Loop number: 2800 time of loop(us): 2 of smartclock_task_time
Loop number: 2900 time of loop(us): 2 of smartclock_task_time
Loop number: 3000 time of loop(us): 1 of smartclock_task_time
Loop number: 3100 time of loop(us): 2 of smartclock_task_time
Loop number: 3200 time of loop(us): 2 of smartclock_task_time
Loop number: 3300 time of loop(us): 2 of smartclock_task_time
Loop number: 3400 time of loop(us): 2 of smartclock_task_time
Loop number: 3500 time of loop(us): 2 of smartclock_task_time
Loop number: 3600 time of loop(us): 2 of smartclock_task_time
Loop number: 3700 time of loop(us): 2 of smartclock_task_time
Loop number: 3800 time of loop(us): 2 of smartclock_task_time
Loop number: 3900 time of loop(us): 2 of smartclock_task_time
Loop number: 4000 time of loop(us): 2 of smartclock_task_time
Loop number: 4100 time of loop(us): 2 of smartclock_task_time
Loop number: 4200 time of loop(us): 2 of smartclock_task_time
Loop number: 4300 time of loop(us): 2 of smartclock_task_time
Loop number: 4400 time of loop(us): 2 of smartclock_task_time
Loop number: 4500 time of loop(us): 2 of smartclock_task_time
Loop number: 4600 time of loop(us): 2 of smartclock_task_time
Loop number: 4700 time of loop(us): 2 of smartclock_task_time
Loop number: 4800 time of loop(us): 2 of smartclock_task_time
Loop number: 4900 time of loop(us): 2 of smartclock_task_time
Loop number: 5000 time of loop(us): 2 of smartclock_task_time
Loop number: 5100 time of loop(us): 2 of smartclock_task_time
Loop number: 5200 time of loop(us): 2 of smartclock_task_time
Loop number: 5300 time of loop(us): 2 of smartclock_task_time
Loop number: 5400 time of loop(us): 2 of smartclock_task_time
Loop number: 5500 time of loop(us): 2 of smartclock_task_time
Loop number: 5600 time of loop(us): 2 of smartclock_task_time
Loop number: 5700 time of loop(us): 1 of smartclock_task_time
Loop number: 5800 time of loop(us): 2 of smartclock_task_time
Loop number: 5900 time of loop(us): 2 of smartclock_task_time
Loop number: 6000 time of loop(us): 2 of smartclock_task_time
Loop number: 6100 time of loop(us): 2 of smartclock_task_time
Loop number: 6200 time of loop(us): 2 of smartclock_task_time
Loop number: 6300 time of loop(us): 2 of smartclock_task_time
Loop number: 6400 time of loop(us): 2 of smartclock_task_time
Loop number: 6500 time of loop(us): 2 of smartclock_task_time
Loop number: 6600 time of loop(us): 2 of smartclock_task_time
Loop number: 6700 time of loop(us): 2 of smartclock_task_time
Loop number: 6800 time of loop(us): 2 of smartclock_task_time
Loop number: 6900 time of loop(us): 2 of smartclock_task_time
Loop number: 7000 time of loop(us): 2 of smartclock_task_time
Loop number: 7100 time of loop(us): 2 of smartclock_task_time
Loop number: 7200 time of loop(us): 2 of smartclock_task_time
Loop number: 7300 time of loop(us): 2 of smartclock_task_time
Loop number: 7400 time of loop(us): 2 of smartclock_task_time
Loop number: 7500 time of loop(us): 2 of smartclock_task_time
Loop number: 7600 time of loop(us): 2 of smartclock_task_time
Loop number: 7700 time of loop(us): 2 of smartclock_task_time
Loop number: 7800 time of loop(us): 2 of smartclock_task_time
Loop number: 7900 time of loop(us): 2 of smartclock_task_time
Loop number: 8000 time of loop(us): 2 of smartclock_task_time
Loop number: 8100 time of loop(us): 2 of smartclock_task_time
Loop number: 8200 time of loop(us): 2 of smartclock_task_time
Loop number: 8300 time of loop(us): 2 of smartclock_task_time
Loop number: 8400 time of loop(us): 2 of smartclock_task_time
Loop number: 8500 time of loop(us): 2 of smartclock_task_time
Loop number: 8600 time of loop(us): 2 of smartclock_task_time
Loop number: 8700 time of loop(us): 2 of smartclock_task_time
Loop number: 8800 time of loop(us): 2 of smartclock_task_time
Loop number: 8900 time of loop(us): 2 of smartclock_task_time
Loop number: 9000 time of loop(us): 2 of smartclock_task_time
Loop number: 9100 time of loop(us): 2 of smartclock_task_time
Loop number: 9200 time of loop(us): 2 of smartclock_task_time
Loop number: 9300 time of loop(us): 2 of smartclock_task_time
Loop number: 9400 time of loop(us): 2 of smartclock_task_time
Loop number: 9500 time of loop(us): 2 of smartclock_task_time
Loop number: 9600 time of loop(us): 2 of smartclock_task_time
Loop number: 9700 time of loop(us): 2 of smartclock_task_time
Loop number: 9800 time of loop(us): 2 of smartclock_task_time
Loop number: 9900 time of loop(us): 2 of smartclock_task_time
Loop number: 10000 time of loop(us): 2 of smartclock_task_time
Loop number: 10100 time of loop(us): 2 of smartclock_task_time
Loop number: 10200 time of loop(us): 2 of smartclock_task_time
Loop number: 10300 time of loop(us): 2 of smartclock_task_time
Loop number: 10400 time of loop(us): 2 of smartclock_task_time
Loop number: 10500 time of loop(us): 2 of smartclock_task_time
Loop number: 10600 time of loop(us): 2 of smartclock_task_time
Loop number: 10700 time of loop(us): 2 of smartclock_task_time
Loop number: 10800 time of loop(us): 2 of smartclock_task_time
Loop number: 10900 time of loop(us): 2 of smartclock_task_time
Loop number: 11000 time of loop(us): 2 of smartclock_task_time
Loop number: 11100 time of loop(us): 2 of smartclock_task_time
Loop number: 11200 time of loop(us): 2 of smartclock_task_time
Loop number: 11300 time of loop(us): 2 of smartclock_task_time
Loop number: 11400 time of loop(us): 2 of smartclock_task_time
Loop number: 11500 time of loop(us): 2 of smartclock_task_time
Loop number: 11600 time of loop(us): 2 of smartclock_task_time
Loop number: 11700 time of loop(us): 2 of smartclock_task_time
Loop number: 11800 time of loop(us): 2 of smartclock_task_time
Loop number: 11900 time of loop(us): 2 of smartclock_task_time
Loop number: 12000 time of loop(us): 2 of smartclock_task_time
Loop number: 12100 time of loop(us): 2 of smartclock_task_time
Loop number: 12200 time of loop(us): 2 of smartclock_task_time
Loop number: 12300 time of loop(us): 2 of smartclock_task_time
Loop number: 12400 time of loop(us): 2 of smartclock_task_time
Loop number: 12500 time of loop(us): 2 of smartclock_task_time
Loop number: 12600 time of loop(us): 2 of smartclock_task_time
Loop number: 12700 time of loop(us): 2 of smartclock_task_time
Loop number: 12800 time of loop(us): 2 of smartclock_task_time
Loop number: 12900 time of loop(us): 2 of smartclock_task_time
Loop number: 13000 time of loop(us): 2 of smartclock_task_time
Loop number: 13100 time of loop(us): 2 of smartclock_task_time
Loop number: 13200 time of loop(us): 2 of smartclock_task_time
Loop number: 13300 time of loop(us): 2 of smartclock_task_time
Loop number: 13400 time of loop(us): 2 of smartclock_task_time
Loop number: 13500 time of loop(us): 2 of smartclock_task_time
Loop number: 13600 time of loop(us): 2 of smartclock_task_time
Loop number: 13700 time of loop(us): 2 of smartclock_task_time
Loop number: 13800 time of loop(us): 2 of smartclock_task_time
Loop number: 13900 time of loop(us): 2 of smartclock_task_time
Loop number: 14000 time of loop(us): 2 of smartclock_task_time
Loop number: 14100 time of loop(us): 2 of smartclock_task_time
Loop number: 14200 time of loop(us): 2 of smartclock_task_time
Loop number: 14300 time of loop(us): 2 of smartclock_task_time
Loop number: 14400 time of loop(us): 2 of smartclock_task_time
Loop number: 14500 time of loop(us): 2 of smartclock_task_time
TOUCHED PIN 27, counter = 
3
Loop number: 14500 time of loop(us): 500021
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 4
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 4
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 4
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 4
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 4
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 5
Loop number: 14500 time of loop(us): 4
Loop number: 14500 time of loop(us): 5
TOUCHED PIN 27, counter = 
1
E (74787) ledc: ledc_channel_config(608): gpio_num argument is invalid
200
{"coord":{"lon":-8.611,"lat":41.1496},"weather":[{"id":802,"main":"Clouds","description":"scattered clouds","icon":"03n"}],"base":"stations","main":{"temp":10.04,"feels_like":9.14,"temp_min":7.5,"temp_max":11.73,"pressure":1027,"humidity":78},"visibility":10000,"wind":{"speed":3.6,"deg":270},"clouds":{"all":40},"dt":1673813846,"sys":{"type":2,"id":2009460,"country":"PT","sunrise":1673769458,"sunset":1673803762},"timezone":0,"id":2735943,"name":"Porto","cod":200}
Temperature10.04
Humidity78
Porto
Loop number: 100 time of loop(us): 10098 of wheather_task_time
Loop number: 200 time of loop(us): 10070 of wheather_task_time
